year,month,day,country,category,color,position,photo,price,page,time,model,order
2008,7,4,29,4,9,5,1,43,2,7.17575389693465,P33,2
2008,8,7,29,1,2,6,1,38,2,11.7864778667971,A34,8
2008,5,27,24,4,4,4,2,38,1,9.07270667247115,P11,7
2008,7,30,29,3,14,6,1,38,3,23.3756416093759,C53,11
2008,6,8,9,1,3,3,1,62,1,11.6205661387942,A8,5
2008,7,7,29,2,12,6,1,52,1,9.01840397677158,B16,9
2008,4,17,29,4,6,6,2,38,4,12.6287842642094,P70,4
2008,8,11,29,4,6,4,2,48,5,8.1808978536123,P82,2
2008,4,1,29,3,6,5,1,20,3,12.7509431220389,C51,6
2008,5,28,29,3,14,6,1,38,3,68.5429554583503,C53,56
2008,8,10,29,4,4,3,2,23,1,6.45678553446594,P9,1
2008,5,17,29,3,13,2,1,28,3,15.5950833893829,C41,8
2008,6,8,29,1,3,3,1,62,1,10.1445733739796,A8,9
2008,7,21,29,2,2,4,1,43,1,10.0842996962882,B11,2
2008,7,25,29,1,2,6,1,38,2,12.2598202731525,A34,12
2008,8,10,29,1,3,1,1,43,1,4.61012106368684,A2,4
2008,7,28,29,1,3,4,1,62,1,6.24059059027758,A11,2
2008,6,20,29,4,7,6,1,33,1,8.70133259887745,P16,5
2008,7,26,9,1,1,6,1,33,1,39.1965973811382,A16,29
2008,6,1,9,2,12,6,1,52,1,2.31883478591504,B16,1
2008,7,30,29,2,2,4,1,67,1,3.60018352069392,B10,1
2008,4,20,29,4,14,4,1,28,3,12.6367077020507,P46,5
2008,5,20,29,2,2,5,1,62,1,10.9605786864227,B14,3
2008,4,25,29,3,6,2,1,33,1,12.6604018539015,C6,6
2008,7,28,29,4,4,3,2,28,1,4.30244136444243,P7,3
2008,7,11,29,2,6,6,2,38,1,10.4246281359926,B17,13
2008,6,30,29,2,6,6,2,38,1,15.212383347354,B17,18
2008,5,30,29,3,14,2,2,28,3,10.2234633140939,C40,12
2008,8,8,29,1,14,5,2,33,1,10.4106641059819,A15,1
2008,4,19,29,3,3,2,1,43,2,20.938330873325,C23,23
2008,4,5,29,1,2,6,1,38,2,7.42131608226398,A34,3
2008,5,29,29,2,14,2,2,52,1,3.21023724537212,B5,1
2008,6,4,44,4,3,1,1,38,1,8.41839371847725,P1,1
2008,8,2,29,1,4,6,1,38,1,13.4312024426401,A18,6
2008,7,23,29,1,2,5,1,38,2,12.3242109670044,A32,5
2008,4,21,9,3,7,4,1,33,1,10.2407817527466,C11,5
2008,8,1,29,4,6,4,2,48,5,3.9401315168221,P82,2
2008,5,25,29,2,9,5,1,57,2,11.8964826033955,B31,5
2008,6,30,29,3,13,1,1,38,3,18.6332295283992,C38,21
2008,6,28,29,2,2,4,1,67,1,7.65525118627426,B10,4
2008,4,24,9,3,6,3,1,48,1,8.21537166361428,C9,5
2008,7,12,29,1,3,4,1,62,1,11.0354459196064,A11,1
2008,6,18,29,3,2,1,1,43,3,12.3123183075715,C37,6
2008,6,9,9,2,11,2,1,57,2,10.2091913398556,B24,1
2008,6,10,29,3,5,1,2,33,4,26.8203399899929,C57,17
2008,7,21,29,4,3,1,1,38,1,11.0218464582318,P1,1
2008,4,4,21,2,9,5,1,38,1,9.66922107154531,B15,8
2008,5,4,29,4,14,4,1,28,3,4.1273381213982,P46,3
2008,6,27,29,3,14,3,1,55,3,30.4783166087958,C44,14
2008,6,5,29,4,11,1,2,33,5,41.1012530717897,P73,27
2008,4,11,29,2,13,1,1,38,2,7.13750853575461,B19,3
2008,7,24,29,1,14,5,2,33,1,12.5133551570962,A15,3
2008,4,14,29,4,14,3,2,28,4,8.96012879694557,P63,2
2008,7,12,29,3,14,6,1,48,1,5.842244742989,C17,1
2008,7,3,29,1,3,4,1,62,1,11.3135601279281,A11,19
2008,6,1,29,3,4,1,2,28,1,14.5827999316916,C1,7
2008,5,6,29,2,2,4,1,38,1,4.83852547546134,B12,2
2008,6,27,29,2,13,3,1,57,2,10.8354482809964,B26,9
2008,7,15,29,1,3,4,1,62,1,6.6577852388679,A11,4
2008,4,4,29,1,3,1,1,43,1,7.45625790042115,A2,2
2008,4,17,24,1,3,3,1,62,1,6.064483105316,A8,3
2008,6,4,29,2,11,2,1,57,2,13.4130951533217,B24,15
2008,4,20,29,4,2,2,1,43,1,9.58472494027943,P6,1
2008,7,6,29,2,4,1,1,57,1,10.7492007688396,B1,20
2008,8,4,29,2,3,1,2,57,1,5.89336831409224,B2,3
2008,4,20,41,3,11,3,1,48,2,14.8541194066268,C27,9
2008,4,3,29,1,4,1,1,38,3,4.56264248312758,A39,3
2008,6,29,29,1,6,2,1,28,3,13.0279702978003,A42,6
2008,7,12,29,4,4,5,2,38,1,8.23972915996311,P15,7
2008,5,9,29,2,4,1,1,57,1,8.40942149125047,B1,3
2008,5,25,29,4,3,1,1,38,1,9.61097006828628,P1,6
2008,7,30,29,4,14,2,2,48,5,22.7798680892538,P78,14
2008,7,24,29,1,3,1,1,43,1,9.72156819392916,A2,6
2008,5,15,29,2,9,5,1,38,1,5.95562436787599,B15,1
2008,7,15,29,4,9,4,2,33,3,10.1908456513817,P48,17
2008,4,21,29,4,14,2,2,48,5,26.9394892687857,P78,19
2008,4,23,29,1,3,3,1,43,1,11.1396030101902,A7,6
2008,5,24,29,3,13,1,1,48,4,15.7207360285865,C55,5
2008,6,2,29,4,6,4,2,48,5,14.9584836050844,P82,9
2008,4,16,29,4,7,3,1,28,5,36.5557286759339,P80,25
2008,5,14,29,1,2,6,1,62,1,13.3505426415405,A17,6
2008,8,7,29,1,3,1,1,43,1,5.33104861219695,A2,2
2008,4,1,9,1,3,2,1,43,1,7.43022843824041,A5,3
2008,4,25,29,4,6,3,2,33,2,5.73152062104681,P27,2
2008,6,17,9,1,3,1,1,72,1,15.2203199144058,A3,15
2008,4,8,15,4,4,4,2,65,1,15.5150691378888,P10,24
2008,6,25,29,1,3,2,2,38,1,7.11049934661288,A4,9
2008,7,10,29,1,3,2,1,43,1,3.86756011201541,A5,1
2008,7,2,29,2,2,4,1,43,1,1.67174828074259,B11,1
2008,5,25,29,3,9,6,1,50,2,12.2319050281616,C35,4
2008,8,3,29,2,4,1,1,57,1,4.74113028623324,B1,1
2008,7,24,9,2,12,1,1,52,1,15.9983269434589,B3,8
2008,4,25,29,1,3,2,2,38,1,6.76029226433551,A4,5
2008,4,5,9,1,2,6,1,62,1,25.644170121751,A17,9
2008,6,10,29,3,6,5,1,20,3,8.4772997387246,C51,9
2008,7,26,29,3,9,5,1,23,1,5.21496228847184,C14,2
2008,4,6,29,2,11,2,1,57,2,9.78629194126795,B24,12
2008,7,11,29,2,2,4,1,67,1,3.13432441425145,B10,2
2008,7,17,29,3,2,3,2,48,1,17.8472471475613,C8,6
2008,6,22,29,2,2,5,1,62,1,1.84830021804955,B14,1
2008,6,3,29,3,13,3,1,48,1,5.57412417958674,C7,2
2008,4,3,29,3,9,5,1,23,1,3.53127078569606,C14,1
2008,4,11,29,4,3,5,2,43,2,11.7147564475019,P32,2
2008,6,10,29,1,3,3,1,82,1,16.7337453173752,A9,6
2008,6,30,29,1,14,5,2,33,1,8.44065257915591,A15,4
2008,5,16,29,3,6,1,2,57,4,14.8783503172753,C56,5
2008,6,16,29,1,1,1,1,62,2,11.181452070565,A21,4
2008,4,24,29,3,13,2,1,28,3,5.74943953928489,C41,11
2008,7,8,29,3,6,2,1,33,1,8.92952523376789,C6,1
2008,5,8,29,2,11,2,1,57,2,4.65881511458124,B24,1
2008,8,8,29,1,6,1,1,62,3,26.3607885330146,A38,15
2008,6,29,29,4,1,3,2,28,4,17.6937675401401,P61,8
2008,5,13,9,3,7,6,1,48,2,5.60848583630305,C34,5
2008,6,16,29,2,4,1,1,57,1,14.0057552805087,B1,1
2008,4,6,29,4,2,1,1,48,2,17.7101422220966,P19,13
2008,4,1,29,2,11,2,1,57,2,5.04489928279619,B24,2
2008,5,6,29,4,4,5,2,38,1,9.9077250133492,P15,8
2008,4,12,29,3,14,1,1,57,2,11.5274227802627,C21,6
2008,4,12,29,4,4,5,2,38,1,4.46609768264091,P15,4
2008,5,12,9,2,10,2,1,52,1,8.42527683775456,B4,3
2008,5,22,29,2,13,1,1,38,2,10.3199162579055,B19,7
2008,5,17,24,4,2,2,1,43,1,12.3275624650052,P6,11
2008,6,29,29,4,9,5,1,43,2,7.37104169629182,P33,2
2008,8,8,46,3,11,2,1,48,1,9.38701069399567,C5,6
2008,4,6,29,4,2,3,1,28,1,6.83218873629275,P8,6
2008,4,2,24,2,2,3,1,57,2,10.6413596727009,B27,2
2008,5,26,29,2,3,1,2,57,1,5.00898753775281,B2,2
2008,5,6,29,1,6,5,2,62,2,13.8355414596169,A31,8
2008,4,22,29,3,2,4,2,28,2,2.30244850833418,C30,1
2008,6,23,9,3,2,4,2,48,2,13.9573797966488,C28,11
2008,8,5,29,4,7,3,1,28,5,18.4057000779044,P80,8
2008,4,28,29,1,3,2,2,38,1,15.640978188801,A4,1
2008,5,22,29,1,2,4,1,60,2,19.4357788685611,A29,52
2008,4,5,29,3,7,2,1,28,3,9.93166520085335,C42,6
2008,5,26,29,1,3,2,2,38,1,5.25860484054222,A4,3
2008,4,24,29,4,4,5,2,38,1,23.9633023705936,P15,42
2008,6,30,29,3,14,6,1,48,1,10.8519118973472,C17,1
2008,4,29,29,4,7,6,1,33,1,12.1883037448444,P16,15
2008,7,11,29,2,9,5,1,38,1,11.28303084368,B15,9
2008,4,9,29,3,2,4,1,48,3,9.18243613191125,C46,13
2008,4,11,29,4,4,5,2,38,1,10.3835856312722,P15,5
2008,4,8,9,1,3,4,1,62,1,6.79455667801054,A11,1
2008,4,10,9,3,6,1,2,57,4,12.8822907157555,C56,4
2008,7,9,29,1,3,2,1,43,1,10.04197447909,A6,2
2008,5,15,29,2,3,1,2,57,1,6.92691147645494,B2,9
2008,4,13,29,1,3,1,1,43,1,8.48670518240247,A2,1
2008,5,31,29,4,9,4,2,43,4,11.3100630434817,P65,3
2008,4,13,29,3,13,3,1,48,1,5.57024291229807,C7,1
2008,6,6,9,3,4,1,2,28,1,9.54515480583945,C1,2
2008,5,7,29,4,14,5,1,33,3,9.80142518032812,P49,8
2008,6,29,29,2,3,1,2,57,1,5.27047112122642,B2,8
2008,4,2,9,2,2,6,1,48,2,8.9811712922593,B34,6
2008,6,30,29,1,3,2,2,38,1,5.03142389338414,A4,3
2008,8,6,29,2,2,4,1,67,1,3.20854217536428,B10,1
2008,5,18,29,1,4,1,1,38,3,12.986654091611,A39,8
2008,4,14,42,1,4,6,1,38,1,4.75006095356268,A18,1
2008,4,4,29,2,12,1,1,52,1,1.97559572240925,B3,1
2008,7,2,29,3,13,2,1,28,3,6.43566175999306,C41,2
2008,5,10,29,1,8,1,1,28,1,3.07922938532868,A1,1
2008,6,16,29,4,3,1,1,38,1,9.16380430150459,P1,1
2008,4,3,29,3,14,1,1,57,2,9.20690418706679,C21,3
2008,6,16,29,4,4,5,2,38,1,10.685181485856,P15,10
2008,7,12,21,4,4,4,2,38,1,8.26230164955363,P11,5
2008,5,23,29,4,14,5,1,33,3,4.97273044128291,P49,2
2008,5,10,29,3,4,5,2,26,3,6.91084385154189,C49,2
2008,4,21,3,4,2,1,1,48,1,16.7144724651952,P3,22
2008,4,17,29,1,3,2,2,38,1,8.00729708051985,A4,2
2008,4,1,29,2,12,6,1,52,1,7.04290122806516,B16,10
2008,6,13,29,3,4,5,2,26,3,7.58919822145165,C49,4
2008,8,12,29,1,3,4,1,62,1,6.08770330800069,A11,1
2008,4,15,29,2,9,5,1,57,2,7.40902273779048,B31,5
2008,7,18,29,2,10,2,1,52,1,11.4523832734106,B4,14
2008,5,17,29,4,3,1,1,38,1,11.2555962364701,P1,1
2008,5,19,29,1,14,5,2,33,1,14.9985110545577,A15,2
2008,4,12,29,4,2,2,1,43,1,14.793642819116,P6,34
2008,5,14,24,4,3,1,1,38,1,10.1129972451739,P1,1
2008,7,11,29,1,3,2,1,43,1,7.9384600951128,A6,8
2008,7,28,29,1,3,3,1,43,1,6.24034491815228,A7,1
2008,4,17,29,3,3,2,1,43,2,11.6387454085828,C23,1
2008,6,1,29,2,2,4,1,67,1,11.9901303026923,B10,5
2008,4,11,9,3,4,5,2,26,3,8.67800510689852,C49,3
2008,6,26,29,2,12,6,1,52,1,5.57515380636087,B16,3
2008,4,28,29,2,2,4,1,67,1,9.24665584078417,B10,1
2008,6,12,29,2,2,4,1,43,1,6.75352913383014,B11,5
2008,5,26,29,4,4,5,2,38,1,7.67843433974713,P15,3
2008,8,11,29,4,2,6,2,33,4,20.4381679849363,P71,31
2008,8,9,29,3,9,5,1,23,1,7.32094302743934,C14,5
2008,5,28,9,1,1,6,1,33,1,13.8150386639746,A16,20
2008,8,12,16,4,6,3,2,33,2,10.014530852683,P27,2
2008,6,7,29,3,9,5,1,23,1,14.6306888724976,C14,14
2008,5,21,46,2,9,5,1,57,2,14.5607806602597,B31,1
2008,4,5,9,1,1,5,1,38,2,8.02856919996182,A33,1
2008,7,10,29,3,9,6,1,50,2,8.22810748627105,C35,2
2008,5,31,9,2,7,2,1,38,2,67.6337958123554,B23,56
2008,8,8,29,3,9,5,2,20,3,24.6822167943413,C50,37
2008,4,12,29,2,2,2,1,67,2,15.3433163393745,B22,3
2008,5,8,29,3,13,1,1,48,4,15.5572761500828,C55,7
2008,7,30,29,4,2,5,2,43,4,16.657013312569,P68,9
2008,6,14,29,4,4,4,2,38,1,19.1538585156903,P11,15
2008,7,1,29,3,5,1,2,33,4,30.7577021018438,C57,20
2008,7,3,29,4,14,2,2,48,5,8.97907957978364,P78,3
2008,4,8,29,1,1,6,1,33,1,10.4196458516719,A16,15
2008,5,6,29,4,2,1,1,48,1,7.51930413886698,P3,1
2008,4,4,29,1,2,6,1,62,1,14.9055055638888,A17,19
2008,8,1,29,2,4,1,1,57,1,11.3459907545285,B1,2
2008,4,15,9,3,14,2,2,28,3,8.4202024707492,C40,4
2008,4,26,29,4,14,6,1,33,4,13.0133836531709,P72,5
2008,5,22,29,2,10,2,1,52,1,7.38568882676596,B4,1
2008,7,10,29,3,5,1,2,33,4,8.08794746209967,C57,3
2008,6,26,29,3,9,5,2,20,3,7.92841182465673,C50,2
2008,4,30,29,2,2,4,1,38,1,7.86351600609979,B12,2
2008,5,24,29,1,4,2,2,38,3,4.65389110898326,A40,2
2008,4,16,29,2,2,4,1,43,1,3.23046547558736,B11,3
2008,4,5,29,4,4,2,1,38,1,5.04712946330296,P4,1
2008,4,30,29,4,4,5,2,38,1,5.16700472671164,P15,2
2008,4,27,29,4,9,5,1,43,4,15.7924735539192,P69,5
2008,6,3,29,3,6,1,2,23,1,4.46410600794563,C3,1
2008,5,10,29,1,2,1,2,38,2,11.8121656240102,A20,2
2008,7,20,29,1,3,5,1,60,1,10.4749793998521,A14,25
2008,6,15,29,2,12,6,1,52,1,5.88747699596523,B16,2
2008,6,16,29,4,3,1,1,38,1,13.782643382538,P1,8
2008,7,20,29,1,6,1,1,62,3,5.22480050600026,A38,9
2008,6,1,44,1,14,5,2,33,1,4.85721218652972,A15,2
2008,4,11,46,1,3,3,1,82,1,12.9261025358714,A9,1
2008,7,24,29,2,9,5,1,38,1,3.36074416826494,B15,1
2008,7,5,9,2,2,4,1,43,1,8.175819715165,B11,2
2008,4,21,24,1,14,5,2,33,1,5.01672535703861,A15,3
2008,5,30,29,1,2,3,1,38,2,9.33679032465082,A26,1
2008,4,30,29,3,14,4,1,43,1,8.59912738631354,C12,6
2008,8,10,9,3,7,6,1,48,2,12.3095169558554,C34,8
2008,5,29,29,3,6,1,2,57,4,7.37660477579284,C56,1
2008,8,9,29,1,3,3,1,82,1,13.7145912105072,A9,3
2008,7,21,44,4,4,2,1,43,3,4.28201152332654,P40,2
2008,4,16,9,1,3,2,2,38,1,23.1992714528263,A4,9
2008,4,13,29,3,14,2,2,28,3,17.8526400591022,C40,8
2008,6,24,29,3,9,5,1,23,1,12.0868765465952,C14,3
2008,5,7,29,4,4,5,1,38,1,6.58432692498227,P13,3
2008,5,27,29,2,2,2,1,67,2,8.14194248162038,B22,3
2008,4,2,24,3,9,5,1,23,1,9.67275085137764,C14,7
2008,5,26,29,3,11,3,1,48,2,4.31220418450923,C27,1
2008,4,10,29,1,14,5,2,33,1,5.80105241787589,A15,5
2008,7,7,29,3,14,2,2,28,3,13.7834529644553,C40,11
2008,7,29,29,1,2,4,1,38,1,15.5657992274508,A12,2
2008,7,9,29,2,12,5,2,62,1,7.64365989659037,B13,5
2008,8,5,29,4,6,4,2,48,5,17.5407168766422,P82,1
2008,4,15,29,4,6,2,2,28,3,14.4650819747979,P42,9
2008,6,15,29,3,6,3,1,48,1,4.80711700986285,C9,1
2008,7,23,29,1,3,4,1,38,1,8.25601171310856,A10,4
2008,4,14,29,1,1,6,1,33,2,8.91811119043952,A36,8
2008,5,12,29,3,4,2,1,48,1,4.91550876074659,C4,4
2008,5,24,29,2,12,1,1,52,1,7.40869842002476,B3,10
2008,7,28,44,3,7,4,1,33,1,7.14349837167765,C11,6
2008,6,13,9,1,8,1,1,28,1,7.7235501016829,A1,1
2008,4,5,29,3,13,1,1,48,4,12.7331012530984,C55,11
2008,6,17,29,1,14,6,2,33,2,9.23814382606598,A35,5
2008,4,17,29,4,9,5,1,43,2,17.1813811937257,P33,7
2008,6,15,29,3,7,6,1,48,2,14.2566580866972,C34,12
2008,6,10,29,2,2,3,1,57,2,7.92904338273547,B27,3
2008,5,24,29,4,3,1,1,38,1,10.0628668293138,P1,11
2008,7,30,29,1,1,3,1,38,2,3.26141477650222,A25,1
2008,6,21,29,4,4,3,1,43,2,4.12546769462085,P26,3
2008,6,27,29,1,2,1,1,62,3,13.3263383739908,A37,5
2008,8,10,29,1,2,1,1,62,3,6.19251950640162,A37,2
2008,4,29,29,1,3,2,2,38,1,13.498920568674,A4,2
2008,5,24,29,1,8,1,1,28,1,3.82594348876207,A1,2
2008,4,26,29,1,3,2,1,43,1,11.6766212697789,A6,1
2008,7,24,29,2,2,3,1,57,2,15.326632522136,B27,6
2008,6,1,24,2,11,2,1,57,2,17.3903922771778,B24,7
2008,5,5,29,4,4,4,2,38,1,14.3045842669213,P11,4
2008,6,26,29,4,2,2,1,43,1,9.38487279606543,P6,11
2008,6,12,29,1,3,3,1,62,1,8.45004503760844,A8,4
2008,4,18,29,1,1,4,2,43,2,9.64311497963176,A28,6
2008,6,9,29,3,13,3,1,48,1,8.32608518784635,C7,2
2008,6,9,29,2,6,6,2,38,1,23.1877865840375,B17,1
2008,5,25,29,4,4,3,2,43,5,21.5391540871592,P81,18
2008,6,25,29,3,9,6,1,48,1,9.5177510346401,C18,7
2008,6,3,29,2,6,3,1,38,1,4.24288324529328,B7,1
2008,4,26,29,2,12,6,1,52,1,5.23768802080945,B16,2
2008,4,9,9,2,2,3,1,57,2,6.93720785203939,B27,7
2008,5,7,29,2,2,3,1,57,2,11.4085220305614,B27,8
2008,6,29,29,1,2,1,1,62,3,11.3476982097253,A37,11
2008,4,15,29,1,1,1,1,62,2,20.5393229274611,A21,16
2008,4,1,29,3,4,1,2,28,1,4.18730434553096,C1,1
2008,6,26,29,1,3,3,1,43,1,11.8427628201886,A7,6
2008,5,27,29,3,14,6,1,48,1,10.6468651034221,C17,3
2008,4,22,29,3,9,6,1,48,1,4.74395567559692,C18,3
2008,8,7,29,3,2,3,2,48,1,14.8866857183587,C8,11
2008,7,23,29,4,4,4,1,33,1,10.1518457157706,P12,1
2008,7,9,29,4,4,4,2,65,1,10.4257763586338,P10,2
2008,5,31,29,3,13,3,1,48,1,6.18889492715503,C7,1
2008,5,7,29,3,4,2,1,48,1,15.4195508725254,C4,8
2008,4,6,29,2,12,1,1,67,2,10.0707640459238,B21,6
2008,5,15,9,2,9,5,1,57,2,10.1055550381841,B31,10
2008,8,4,29,1,4,6,1,38,1,5.20367150551624,A18,1
2008,5,15,29,2,2,3,1,57,2,26.4610401147958,B27,6
2008,7,21,29,4,14,2,2,48,5,20.7282112100769,P78,9
2008,4,22,29,4,2,2,2,38,4,15.8318854937975,P59,8
2008,7,27,29,1,1,6,1,33,1,22.8433380179144,A16,12
2008,4,16,29,4,2,2,1,43,1,9.41424718877139,P6,1
2008,5,19,29,3,14,6,1,48,1,19.3242245219781,C17,5
2008,8,10,29,2,1,3,1,48,1,3.94638980553297,B9,2
2008,6,10,29,4,9,5,1,38,4,7.05351322711464,P67,4
2008,7,13,46,3,7,2,1,28,3,11.3911855762077,C42,11
2008,6,14,9,3,4,5,2,26,3,11.3884665309551,C49,2
2008,7,31,29,4,9,5,1,43,2,9.76153417817513,P33,13
2008,4,1,29,1,3,1,1,43,1,7.09206067407495,A2,9
2008,5,8,29,4,3,1,1,38,1,11.6636568441457,P1,1
2008,4,5,29,4,2,3,1,28,1,16.2018085501473,P8,9
2008,4,20,29,2,10,2,1,52,1,9.56698413569986,B4,3
2008,6,30,29,4,2,1,1,48,1,8.15788577932921,P3,1
2008,4,14,29,3,9,5,1,48,1,3.36398331474665,C13,1
2008,6,29,29,1,2,4,1,38,1,17.8578811845314,A12,14
2008,6,2,9,1,3,1,1,72,1,6.45665970407756,A3,1
2008,6,9,29,3,11,3,1,55,3,7.73307955445355,C45,2
2008,4,1,29,1,2,4,1,38,1,5.79987092989737,A12,8
2008,5,19,29,2,12,6,1,52,1,7.86495105439394,B16,3
2008,4,19,29,4,12,4,2,28,4,4.04293339958511,P64,1
2008,5,5,9,3,13,1,1,48,4,10.9202185009237,C55,10
2008,6,16,29,4,7,3,2,38,3,2.32719080947676,P43,1
2008,6,13,29,4,7,1,1,23,2,35.767960800622,P20,27
2008,8,4,29,3,9,6,1,48,1,9.75734579403966,C18,5
2008,6,25,29,1,3,1,1,43,1,7.60177607392845,A2,1
2008,4,18,29,3,9,5,1,48,1,10.4767284530052,C13,2
2008,7,3,29,4,14,5,1,33,3,9.03416283409392,P49,3
2008,8,12,24,3,14,2,2,48,4,2.21530723411459,C58,1
2008,7,26,29,3,13,1,1,48,4,6.42391413669349,C55,4
2008,4,21,46,4,4,2,1,38,1,11.664971616053,P4,8
2008,8,9,29,4,2,2,1,43,1,12.5803892624153,P6,3
2008,4,5,29,2,9,4,1,57,2,9.25470080710592,B30,3
2008,6,29,29,2,2,3,1,57,2,15.204146951021,B27,33
2008,5,7,29,1,6,5,2,62,2,17.2612225728636,A31,4
2008,7,10,29,1,3,2,1,43,1,4.6031920898805,A6,1
2008,6,25,29,1,3,3,1,43,1,6.00236323334249,A7,5
2008,7,3,29,3,6,1,2,57,4,13.5486520196641,C56,8
2008,5,20,29,2,7,2,1,38,2,11.7681524181779,B23,7
2008,7,24,29,3,9,5,1,23,1,8.33908131215754,C14,10
2008,6,3,29,2,6,6,2,38,1,6.35702507780227,B17,1
2008,4,4,29,4,2,3,2,43,2,14.891543532625,P25,6
2008,5,23,9,3,14,2,2,28,3,21.3220798039568,C40,9
2008,4,12,29,4,6,6,2,38,4,53.1731472828172,P70,26
2008,5,29,29,1,3,4,1,38,1,8.38621888628713,A10,2
2008,5,27,29,1,1,1,1,62,2,9.1658837192335,A21,2
2008,7,24,29,4,2,1,1,48,1,4.26418951505936,P3,4
2008,4,23,46,1,3,2,1,43,1,11.6245131671018,A5,1
2008,7,29,29,4,2,1,1,48,1,10.9702733858153,P3,6
2008,5,14,29,4,4,4,1,33,2,24.9347192373092,P30,19
2008,7,8,41,1,3,5,1,60,1,8.55454691991864,A14,2
2008,5,20,29,1,2,1,1,62,3,13.984386944463,A37,14
2008,7,9,29,4,4,4,1,33,1,7.66735242086707,P12,12
2008,6,16,29,3,5,1,2,33,4,5.53794363861604,C57,2
2008,7,14,29,4,9,5,1,38,4,18.5537193303651,P67,12
2008,7,21,24,3,5,1,2,33,4,10.9219290976188,C57,2
2008,4,13,15,2,9,4,1,38,2,8.38213645633903,B28,5
2008,6,13,29,3,11,2,1,48,1,10.5331948508089,C5,9
2008,5,11,29,2,6,3,1,38,2,9.78956237840134,B25,7
2008,5,16,29,4,6,2,2,28,2,18.4577641349616,P23,12
